Date,SeasonTag,HomeTeam,AwayTeam,Opponent,IsHome,FTHG,FTAG,ChelseaGoals,OppGoals,FTR,Target,Points,FormPoints_5,GoalsFor_5,GoalsAgainst_5,GoalDiff_5,WinRate_5,B365H,B365D,B365A,Odds_Win,Odds_Draw,Odds_Loss,ImpP_Win,ImpP_Draw,ImpP_Loss,Overround,LogOdds_Win,LogOdds_Draw,LogOdds_Loss
2019-01-19,E0,Arsenal,Chelsea,Arsenal,0,2,0,0,2,H,Loss,0,10.0,5.0,3.0,2.0,0.6,3.1,3.6,2.37,2.37,3.6,3.1,0.4127371574392544,0.2717186286475092,0.31554421391323645,1.0222993512091103,0.8628899551470398,1.2809338454620642,1.1314021114911006
2019-01-30,E0,Bournemouth,Chelsea,Bournemouth,0,4,0,0,4,H,Loss,0,10.0,5.0,4.0,1.0,0.6,5.25,4.2,1.66,1.66,4.2,5.25,0.5843071786310519,0.23094045631608234,0.18475236505286588,1.0309810671256454,0.5068176023684519,1.4350845252893227,1.6582280766035324
2019-02-02,E0,Chelsea,Huddersfield,Huddersfield,1,5,0,5,0,H,Win,3,7.0,3.0,7.0,-4.0,0.4,1.2,7.5,19.0,1.2,7.5,19.0,0.8175559380378657,0.1308089500860585,0.05163511187607572,1.0192982456140351,0.1823215567939546,2.0149030205422647,2.9444389791664403
2019-02-10,E0,Man City,Chelsea,Man City,0,6,0,0,6,H,Loss,0,7.0,7.0,7.0,0.0,0.4,1.5,4.75,7.0,7.0,4.75,1.5,0.14004914004914004,0.20638820638820637,0.6535626535626535,1.0200501253132832,1.9459101490553132,1.55814461804655,0.4054651081081644
2019-02-27,E0,Chelsea,Tottenham,Tottenham,1,2,0,2,0,H,Win,3,6.0,7.0,13.0,-6.0,0.4,2.3,3.5,3.25,2.3,3.5,3.25,0.4228624535315985,0.2778810408921933,0.2992565055762082,1.0281892021022456,0.8329091229351039,1.252762968495368,1.1786549963416462
2019-03-03,E0,Fulham,Chelsea,Fulham,0,1,2,2,1,A,Win,3,6.0,7.0,12.0,-5.0,0.4,6.5,4.5,1.53,1.53,4.5,6.5,0.6347656250000001,0.2158203125,0.14941406250000003,1.029663147310206,0.4252677354043441,1.5040773967762742,1.8718021769015913
2019-03-10,E0,Chelsea,Wolves,Wolves,1,1,1,1,1,D,Draw,1,9.0,9.0,11.0,-2.0,0.6,1.55,4.2,7.0,1.55,4.2,7.0,0.62874251497006,0.2320359281437126,0.13922155688622756,1.0261136712749614,0.4382549309311553,1.4350845252893227,1.9459101490553132
2019-03-17,E0,Everton,Chelsea,Everton,0,2,0,0,2,H,Loss,0,10.0,10.0,8.0,2.0,0.6,4.0,3.8,1.95,1.95,3.8,4.0,0.4998355804011838,0.256494574153239,0.2436698454455771,1.025978407557355,0.6678293725756554,1.33500106673234,1.3862943611198906
2019-03-31,E0,Cardiff,Chelsea,Cardiff,0,1,2,2,1,A,Win,3,7.0,5.0,10.0,-5.0,0.4,9.0,4.5,1.44,1.44,4.5,9.0,0.6756756756756758,0.21621621621621623,0.10810810810810811,1.0277777777777777,0.36464311358790924,1.5040773967762742,2.1972245773362196
2019-04-03,E0,Chelsea,Brighton,Brighton,1,3,0,3,0,H,Win,3,10.0,7.0,5.0,2.0,0.6,1.25,6.5,15.0,1.25,6.5,15.0,0.7839195979899497,0.1507537688442211,0.06532663316582914,1.0205128205128207,0.22314355131420976,1.8718021769015913,2.70805020110221
2019-04-08,E0,Chelsea,West Ham,West Ham,1,2,0,2,0,H,Win,3,10.0,8.0,5.0,3.0,0.6,1.33,5.75,9.5,1.33,5.75,9.5,0.7292327203551047,0.16867469879518074,0.10209258084971465,1.031055900621118,0.28517894223366247,1.749199854809259,2.2512917986064953
2019-04-14,E0,Liverpool,Chelsea,Liverpool,0,2,0,0,2,H,Loss,0,10.0,8.0,4.0,4.0,0.6,1.66,4.2,5.25,5.25,4.2,1.66,0.18475236505286588,0.23094045631608234,0.5843071786310519,1.0309810671256454,1.6582280766035324,1.4350845252893227,0.5068176023684519
